variable_name,display_name,data_type,original_worksheet,n_unique_values,missing_rate_pct,imputation_strategy,encoding_mapping,sample_values
移植前末次鞘注时间,移植前末次鞘注时间,date,info,169,0.0,"mode (fill=2018-01-22, n=57)",,2017-09-29; 2017-10-22; 2019-02-26
危险分层,危险分层,categorical,info,3,0.0,"mode (fill=高危组, n=2)",0=中危组; 1=低危组; 2=高危组,高危组; 中危组; 低危组
评估情况,评估情况,categorical,info,3,0.0,"mode (fill=无, n=132)",0=持续慢性感染; 1=无; 2=残留陈旧病灶，无需治疗,无; 持续慢性感染; 残留陈旧病灶，无需治疗
治疗方案,治疗方案,categorical,info,2,0.0,"mode (fill=伏立康唑 200ug q12h, n=245)",0=伏立康唑 200ug q12h; 1=伏立康唑50mg/12h,伏立康唑 200ug q12h; 伏立康唑50mg/12h
供者ID,供者ID,integer,info,219,0.0,"median (fill=110.0, n=28)",,154.0; 144.0; 185.0
性别_1,性别_1,categorical,info,2,0.0,"mode (fill=男, n=28)",0=女; 1=男,女; 男
身高_1,身高_1,float,info,43,0.0,"median (fill=165.0, n=39)",,155.0; 176.0; 165.0
体重_1,体重_1,float,info,96,0.0,"median (fill=63.95, n=39)",,51.5; 70.4; 63.95
出生日期_1,出生日期_1,date,info,215,0.0,"mode (fill=1968-04-10, n=28)",,2004-11-22; 1972-01-28; 1965-03-23
与患者关系,与患者关系,categorical,info,16,0.0,"mode (fill=父亲, n=28)",0=0000; 1=儿子; 2=哥哥; 3=堂弟; 4=女儿; 5=妹妹; 6=姐姐; 7=姐弟; 8=弟弟; 9=无; 10=无关; 11=无关供者; 12=母亲; 13=父亲; 14=父子; 15=舅舅,女儿; 弟弟; 父亲
移植日期,移植日期,date,info,194,0.0,"mode (fill=2018-11-26, n=3)",,2017-11-09; 2017-12-19; 2019-04-01
移植次数,移植次数,categorical,info,2,0.0,"mode (fill=第一次移植, n=3)",0=第一次移植; 1=第二次移植,第一次移植; 第二次移植
第二次原因,第二次原因,categorical,info,1,0.0,"mode (fill=本病复发, n=244)",0=本病复发,本病复发
移植类型,移植类型,categorical,info,5,0.0,"mode (fill=亲缘间单倍体移植, n=3)",0=亲缘间全相合移植; 1=亲缘间单倍体移植; 2=自体移植; 3=非亲缘间不相合移植; 4=非亲缘间全相合移植,亲缘间单倍体移植; 亲缘间全相合移植; 自体移植
HLA-DQ（供者）,HLA-DQ（供者）,categorical,info,87,0.0,"mode (fill=03:01/03:03, n=36)",0=02:01/02:02; 1=02:01/03:01; 2=02:01/03:02; 3=02:01/03:03; 4=02:01/05:02; 5=02:01/05:03; 6=02:01/06:01; 7=02:01/06:03; 8=02:01:01/04:01; 9=02:02/03:01; ... (87 total classes),03:01/03:01; 03:01/03:03; 05:01/05:02
HLA-A（供者）,HLA-A（供者）,text (free-form),info,105,0.0,"mode (fill=11:01/11:01, n=35)",skipped (high cardinality (105 unique)),
HLA-B（供者）,HLA-B（供者）,text (free-form),info,138,0.0,"mode (fill=40:01/46:01, n=35)",skipped (high cardinality (138 unique)),
HLA-DRB1（供者）,HLA-DRB1（供者）,text (free-form),info,136,0.0,"mode (fill=09:01/09:01, n=35)",skipped (high cardinality (136 unique)),
HLA-CW（供者）,HLA-CW（供者）,text (free-form),info,103,0.0,"mode (fill=01:02/07:02, n=36)",skipped (high cardinality (103 unique)),
Dpb1（供者）,Dpb1（供者）,categorical,info,39,0.0,"mode (fill=05:01/05:01, n=179)",0=02:01/02:01; 1=02:01/02:02; 2=02:01/03:01; 3=02:01/04:01; 4=02:01/04:02; 5=02:01/05:01; 6=02:01/135:01; 7=02:01/19:01; 8=02:01/21:01; 9=02:01/41:01; 10=02:01:02G/05:01; 11=02:01:02G/05:01:01G; 12=02:02/03:01; 13=02:02/04:01; 14=02:02/04:02; 15=02:02/05:01; 16=02:02/135:01; 17=02:02/14:01; 18=02:02:01G/05:01:01G; 19=03:01/02:01; 20=03:01/04:05:01; 21=03:01/05:01; 22=03:01:01G/05:01:01G; 23=04:01/02:02; 24=04:01/09:01; 25=04:01/14:01; 26=04:01/17:01; 27=04:01/19:01; 28=04:02/14:01; 29=05:01/03:01; 30=05:01/04:01; 31=05:01/05:01; 32=05:01/13:01; 33=05:01/21:01; 34=05:01:01G/13:01:01G; 35=13:01/01a/21:01; 36=14:01/02:02; 37=14:01/03:01; 38=21:01/17:01,05:01/05:01; 02:01/21:01; 02:02:01G/05:01:01G
血型（供者）,血型（供者）,categorical,info,9,0.0,"mode (fill=A, n=46)",0=0; 1=A; 2=A(RhD); 3=AB; 4=B; 5=O; 6=O(RHD); 7=ab; 8=o,O; A; B
HLA-DQ（受者）,HLA-DQ（受者）,categorical,info,97,0.0,"mode (fill=03:01/03:03, n=36)",0=02:01/02:01; 1=02:01/02:02; 2=02:01/03:01; 3=02:01/03:02; 4=02:01/03:03; 5=02:01/04:01; 6=02:01/04:02; 7=02:01/05:01; 8=02:01/06:01; 9=02:01:01/04:01; ... (97 total classes),03:01/06:03; 03:01/03:03; 03:01/05:02
HLA-A（受者）,HLA-A（受者）,categorical,info,89,0.0,"mode (fill=11:01/11:01, n=35)",0=01:01/02:01; 1=01:01/02:07; 2=01:01/11:01; 3=01:01/24:02; 4=01:01/33:03; 5=02:01/02:03; 6=02:01/02:06; 7=02:01/02:07; 8=02:01/03:01; 9=02:01/11:01; ... (89 total classes),01:01/33:03; 11:01/11:01; 24:02/68:01
HLA-B（受者）,HLA-B（受者）,text (free-form),info,139,0.0,"mode (fill=40:01/46:01, n=35)",skipped (high cardinality (139 unique)),
HLA-DRB1（受者）,HLA-DRB1（受者）,text (free-form),info,141,0.0,"mode (fill=09:01/09:01, n=35)",skipped (high cardinality (141 unique)),
HLA-CW（受者）,HLA-CW（受者）,text (free-form),info,108,0.0,"mode (fill=01:02/03:04, n=36)",skipped (high cardinality (108 unique)),
Dpb1（受者）,Dpb1（受者）,categorical,info,43,0.0,"mode (fill=05:01/05:01, n=180)",0=02:01/02:01; 1=02:01/02:02; 2=02:01/04:01; 3=02:01/04:02; 4=02:01/05:01; 5=02:01/05:02; 6=02:01/135:01; 7=02:01/19:01; 8=02:01/21:01; 9=02:01/41:01; 10=02:01:02G/01:01:01G; 11=02:01:02G/05:01; 12=02:02/03:01; 13=02:02/04:01; 14=02:02/04:02; 15=02:02/05:01; 16=02:02/14:01; 17=02:02:01G/05:01:01G; 18=03:01/03:01; 19=03:01/04:05:01; 20=03:01/05:01; 21=03:01/13:01:01G; 22=03:01/14:01; 23=03:01:01G/03:01:01G; 24=04:01/02:01; 25=04:01/03:02; 26=04:01/14:01; 27=04:01/19:01; 28=04:02/14:01; 29=04:02/21:01; 30=05:01/02:02; 31=05:01/03:01; 32=05:01/04:01; 33=05:01/05:01; 34=05:01/05:03; 35=05:01/13:01; 36=05:01/13:01:01G; 37=05:01:01G/05:01:01G; 38=0:01/17:01; 39=13:01/01a/21:01; 40=14:01/05:01; 41=14:01/135:01; 42=21:01/17:01,05:01/05:01; 02:01/21:01; 05:01:01G/05:01:01G
血型（受者）,血型（受者）,categorical,info,10,0.0,"mode (fill=O, n=51)",0=0; 1=A; 2=A(RhD); 3=AB; 4=B; 5=C; 6=O; 7=O(RHD); 8=a; 9=o,B; O; A
HLA抗体,HLA抗体,categorical,info,2,0.0,"mode (fill=阴性, n=117)",0=阳性; 1=阴性,阴性; 阳性
急性重症GVHD风险,急性重症GVHD风险,categorical,info,5,0.0,"mode (fill=2, n=140)",0=1; 1=2; 2=3; 3=4; 4=母亲2,2; 1; 3
GVL作用,GVL作用,categorical,info,5,0.0,"mode (fill=2, n=140)",0=1; 1=2; 2=3; 3=4; 4=母亲4,2; 4; 3
匹配结论,匹配结论,text (free-form),info,117,0.0,"mode (fill=父供子HLA5/10相合, n=26)",skipped (high cardinality (117 unique)),
预处理日期,预处理日期,date,info,208,0.0,"mode (fill=2017-10-17, n=3)",,2017-10-26; 2017-12-07; 2019-03-23
预处理方案,预处理方案,text (free-form),info,130,0.0,"mode (fill=Me-CCNU+Ara-C+BU+CTX+ATG, n=4)",skipped (high cardinality (130 unique)),
疾病状态,疾病状态,categorical,info,4,0.0,"mode (fill=CR, n=3)",0=CR; 1=NR; 2=PR; 3=RE,CR; NR; PR
MRD流式,MRD流式,categorical,info,38,0.0,"mode (fill=0%, n=24)",0=(-); 1=0; 2=0%; 3=0.04%; 4=0.07%; 5=0.08%; 6=0.14%; 7=0.16; 8=0.18%; 9=0.19%; 10=0.2%; 11=0.24%; 12=0.26%; 13=0.29%; 14=0.33%; 15=0.45%; 16=0.71%; 17=0.72%; 18=0.73%; 19=0.82%; 20=0.83%; 21=1.04%; 22=1.06%; 23=1.2%; 24=1.40%; 25=2.39%; 26=28.12%; 27=30%; 28=38.65%; 29=4.95; 30=57.5%; 31=6%; 32=63.85%; 33=7.17%; 34=NR; 35=阳性; 36=阴性; 37=（-）,0%; (-); 1.04%
MRD基因,MRD基因,categorical,info,65,0.0,"mode (fill=0%, n=173)",0=0%; 1=ABL(+); 2=ABL阳性; 3=AML-ETO/ABL   0.14%; 4=AML/ETO 0%; 5=AML1-ET0/ABL 0.32%; 6=AML1-ETO/ABL   0%; 7=AML1-ETO/ABL  0.38; 8=AML1-ETO/ABL 0%; 9=AML1-ETO/ABL 0.03%; ... (65 total classes),0%; AML1-ETO/ABL  0.38; P210占0.024%，p190，p230阳性
干细胞来源,干细胞来源,categorical,info,3,0.0,"mode (fill=外周干细胞,骨髓干细胞, n=3)","0=外周干细胞; 1=外周干细胞,骨髓干细胞; 2=骨髓干细胞","外周干细胞,骨髓干细胞; 外周干细胞; 骨髓干细胞"
干细胞动员方案,干细胞动员方案,categorical,info,12,0.0,"mode (fill=CAE+G-CSF, n=235)",0=CAE+G-CSF; 1=CEOD+MTX+G-CSF; 2=G-CSF; 3=G-CSF+HADG; 4=HA+Dac; 5=HAD+G-CSF; 6=HIA+G-CSF; 7=IA+G-CSF; 8=MOED+G-CSF; 9=MOED+MTX+G-CSF; 10=ia; 11=平地动员,CAE+G-CSF; MOED+G-CSF; G-CSF+HADG
冻存-外周Mnc,冻存-外周Mnc,float,info,14,0.0,"median (fill=2.26, n=228)",,2.26; 0.6; 12.8
冻存-外周Cd34,冻存-外周Cd34,float,info,18,0.0,"median (fill=2.5, n=228)",,2.5; 1.0; 2.0
死亡日期,死亡日期,date,info,38,0.0,"mode (fill=2017-06-26, n=209)",,2017-06-26; 2018-03-27; 2019-06-03
死亡地点,死亡地点,categorical,info,11,0.0,"mode (fill=家中, n=209)",0=不详; 1=医院; 2=家; 3=家中; 4=家中 ; 5=家里; 6=当地医院; 7=患者家中; 8=新桥医院; 9=病房; 10=红岭医院,家中; 医院; 家中 
死亡根本原因,死亡根本原因,categorical,info,2,0.0,"mode (fill=其他, n=209)",0=其他; 1=本病复发,其他; 本病复发
死亡原因备注,死亡原因备注,categorical,info,28,0.0,"mode (fill=1.中枢神经白血病2.重症肺炎3.呼吸衰竭4.休克5.血气胸.6脑干出血7.多器官功能衰竭待诊, n=219)","0=1.中枢神经白血病2.重症肺炎3.呼吸衰竭4.休克5.血气胸.6脑干出血7.多器官功能衰竭待诊; 1=2018-4-19电话随访患者，家属诉于2018-4-15家中逝世; 2=2018.6.18复发
2019.4.18复发; 3=5.16   复发     36.5%           MRD34.88%          WTI/ABL  129.6%; 4=Ph+急性混合细胞白血病（高危组），真菌性肺炎，父供女6/10相合造血干细胞移植术后，肝功能受损，粒细胞减少症，尿路感染，低蛋白血症; 5=ph+急性淋巴细胞白血病  高危，原发性高血压  很高危，消化道出血，出血性膀胱炎，巨细胞病毒感染，BK、JC病毒感染，aGVHD，低蛋白血症，水电解质紊乱; 6=不详; 7=并发症; 8=急性淋巴细胞白血病（ETP高危组），肺部感染，父供子8/10相合造血干细胞移植术后，肝功能受损，消化道出血，感染性休克，失血性休克，低蛋白血症，肾功能不全，皮肤软组织感染，恶劣心境，败血症（肺炎克雷伯菌），呼吸循环衰竭; 9=急性混合细胞白血病（高危组）-CR2，弟供兄全相合造血干细胞移植术后，白血病髓外浸润，移植物抗宿主病，重症感染，肺部感染，败血症（大肠埃希菌），感染性休克，肝功能损害，弥散性血管内凝血，呼吸衰竭，代谢性酸中毒，呼吸循环衰竭; 10=急性髓系白血病M4（高危组），无关供者全相合造血干细胞移植术后，慢性移植物抗宿主病，肝功能损害，继发性铁负荷过多，急性胰腺炎，肺部感染，低蛋白血症，消化道出血，凝血功能障碍，低钾、低镁血症，高钠、高氯血症，肺部真菌感染，呼吸衰竭，代谢性碱中毒，血栓性微血管病，褥疮; 11=急性髓系白血病M5，肺部感染，肾功能不全，兄供弟全相合造血干细胞移植; 12=患者于2018年4月20日16:30开始行腰穿及鞘内化疗，于鞘内推注阿糖胞苷时出现下肢疼痛，麻木，后出现一过性截瘫，20:00患者持续诉双下肢无力及脐平面以下腹痛，感焦虑、烦躁，于22:30患者突然出现呼吸、心跳骤停，积极抢救后无效死亡; 13=患者浅昏迷就诊新桥医院血液科诊断为：意识障碍待查，重度贫血，血小板减少性紫癜，失血性休克，死亡; 14=患者血氧饱和度，血压下降，瞳孔直径约6mm，对光反射减弱处理后意识障碍加重，且患者有多重感染，合并移植物抗宿主病，本病病情重，死亡率极高，患者家属放弃治疗; 15=患者诊断Ph+ALL，兄供弟5/10相合造血干细胞移植，移植后持续出血性膀胱炎，巨细胞病毒反复阳性，合并肺部感染，血栓性微血管病，经抗感染、血浆置换等治疗后疗效差，最终呼吸衰竭死亡; 16=患者诊断急性髓系白血病M4EO（高危组）-CR2，兄供弟5/10相合造血干细胞移植术后，肺部感染，移植物抗宿主病，肝功能损害，肾功能不全，Ⅰ型呼吸衰竭，代谢性酸中毒，呼吸循环衰竭，抢救无效，家属放弃治疗; 17=感染; 18=感染性休克; 19=慢性淋巴细胞白血病，下肢静脉血栓，左输尿管结石并积水，右双“J”管置入术后，右肾结石，肝功能不全，肾功能不全，巨细胞病毒血症，左侧周围性面瘫，面神经炎？脑血管意外？凝血功能异常，口咽部溃疡伴出血，代谢性酸中毒，肺部感染，感染性休克; 20=慢性粒单核细胞白血病，骨髓纤维化，粒细胞缺乏性发热，代谢性脑病待诊，高钠血症，低蛋白血症，呼吸循环功能衰竭，高氯血症，感染性休克; 21=本病复发+肝功能衰竭+血流感染+肺部感染; 22=确诊机型混合细胞白血病（高危组），急性移植物抗宿主病，肺部感染，非血缘关系9/10相合造血干细胞移植术后，EB病毒感染，肝功能受损，移植相关血栓微血管病，粒细胞缺乏症，脑梗塞; 23=移植后复发，放弃治疗，家中去世; 24=肺部感染，慢性肾功能不全，慢性移植抗宿主病，EB病毒感染，BK病毒感染，呼吸循环衰竭; 25=血流感染+导管感染：肺炎克雷伯菌; 26=血流感染：嗜麦芽寡养单胞菌; 27=诊断急性髓系白血病，无关供者全相合造血干细胞移植后复发，并发肺部感染，抗感染治疗效果不佳，呼吸循环衰竭死亡",1.中枢神经白血病2.重症肺炎3.呼吸衰竭4.休克5.血气胸.6脑干出血7.多器官功能衰竭待诊; 并发症; 急性髓系白血病M5，肺部感染，肾功能不全，兄供弟全相合造血干细胞移植
移植后天数,移植后天数,integer,info,35,0.0,"median (fill=108.0, n=209)",,108.0; 97.0; 64.0
cellinfo_移植日期,细胞信息_移植日期,date,cell-info,194,0.0,"mode (fill=2018-11-26, n=3)",,2017-11-09; 2017-12-19; 2019-04-01
cellinfo_移植天数,细胞信息_移植天数,integer,cell-info,3,0.0,"median (fill=1.0, n=17)",,1.0; 2.0; 3.0
cellinfo_外周干细胞CD34,细胞信息_外周干细胞CD34,float,cell-info,153,0.0,"median (fill=6.0, n=67)",,4.55; 3.08; 6.0
cellinfo_外周干细胞MNC,细胞信息_外周干细胞MNC,float,cell-info,144,0.0,"median (fill=8.93, n=73)",,8.1; 9.41; 8.93
cellinfo_骨髓干细胞CD34,细胞信息_骨髓干细胞CD34,float,cell-info,42,0.0,"median (fill=0.94, n=199)",,0.94; 1.0; 1.22
cellinfo_骨髓干细胞有核细胞,细胞信息_骨髓干细胞有核细胞,float,cell-info,47,0.0,"median (fill=4.3, n=198)",,4.3; 3.4; 3.9
prep_ECOG评分,移植前_ECOG评分,categorical,pre-test-p,3,0.0,"mode (fill=0分, n=142)",0=0分; 1=1分; 2=2分,0分; 1分; 2分
prep_检查日期,移植前_检查日期,date,pre-test-p,184,0.0,"mode (fill=2018-01-05, n=20)",,2017-10-25; 2017-11-27; 2019-02-22
prep_移植前疾病状态,移植前_移植前疾病状态,categorical,pre-test-p,5,0.0,"mode (fill=CR, n=21)",0=CR; 1=NR; 2=PR; 3=RE; 4=不详,CR; 不详; RE
prep_MRD,移植前_MRD,categorical,pre-test-p,3,0.0,"mode (fill=流式, n=166)","0=基因; 1=流式; 2=流式,基因","流式; 流式,基因; 基因"
prep_MRD流式,移植前_MRD流式,categorical,pre-test-p,41,0.0,"mode (fill=0%, n=26)",0=(-); 1=(-）; 2=0; 3=0%; 4=0.04%; 5=0.07; 6=0.08%; 7=0.14%; 8=0.16%; 9=0.18%; 10=0.19%; 11=0.2%; 12=0.24; 13=0.26%; 14=0.29%; 15=0.33%; 16=0.45%; 17=0.48%; 18=0.71%; 19=0.73%; 20=0.82%; 21=0.83%; 22=1.04%; 23=1.06%; 24=1.2%; 25=1.4; 26=16.33%; 27=2.39%; 28=28.12%; 29=38.65%; 30=39%; 31=4.95; 32=57.5%; 33=6%; 34=63.85%; 35=7.17%; 36=8.72%; 37=阳性; 38=阴; 39=阴性; 40=（-）,0%; （-）; 1.04%
prep_MRD基因,移植前_MRD基因,categorical,pre-test-p,67,0.0,"mode (fill=0%, n=173)",0=0%; 1=ABL(+); 2=ABL阳性; 3=ALL/AF4(-); 4=AML-ET0/ABL 0.17%; 5=AML/ETO 0%; 6=AML1-ETO/ABL  0.38; 7=AML1-ETO/ABL 0%; 8=AML1-ETO/ABL 0.03%; 9=AML1-ETO/ABL 0.1%; ... (67 total classes),0%; AML1-ETO/ABL  0.38; P210占0.024%，p190，p230阳性
prep_不良预后基因是否转阴,移植前_不良预后基因是否转阴,categorical,pre-test-p,4,0.0,"mode (fill=未转阴, n=207)",0=全阴性; 1=无不良预后基因; 2=未测; 3=未转阴,未转阴; 无不良预后基因; 未测
prep_不良预后基因是否转阴备注,移植前_不良预后基因是否转阴备注,categorical,pre-test-p,9,0.0,"mode (fill=AML1-ETO/ABL 0.03%, n=238)",0=AML1-ETO/ABL 0.03%; 1=BCR/ABL  1.2%; 2=BCR/ABL P190 ; 3=DNMT3A; 4=WT1 0.13%; 5=WT1/ABL 0.19%; 6=WT1/ABL 0.28%; 7=WT1/ABL 0.46%; 8=WT1/ABL 0.53%；AML1/ETO 0.25%,AML1-ETO/ABL 0.03%; WT1/ABL 0.46%; BCR/ABL P190 
prep_检查日期_1,移植前_检查日期_1,date,pre-test-p,209,0.0,"mode (fill=2019-02-13, n=3)",,2017-10-19; 2017-12-07; 2019-02-23
prep_血红蛋白（HGB）,移植前_血红蛋白（HGB）,integer,pre-test-p,81,0.0,"median (fill=102.0, n=3)",,79.0; 109.0; 114.0
prep_白细胞总数（WBC）,移植前_白细胞总数（WBC）,float,pre-test-p,213,0.0,"median (fill=3.59, n=3)",,1.19; 5.17; 2.64
prep_血小板计数（PLT）,移植前_血小板计数（PLT）,float,pre-test-p,186,0.0,"median (fill=170.5, n=3)",,52.0; 283.0; 180.0
prep_中性粒细胞绝对值（NEUT）,移植前_中性粒细胞绝对值（NEUT）,float,pre-test-p,201,0.0,"median (fill=1.95, n=5)",,0.4; 3.37; 1.23
prep_检查日期_2,移植前_检查日期_2,date,pre-test-p,204,0.0,"mode (fill=2017-09-09, n=8)",,2017-10-28; 2017-10-09; 2018-09-04
prep_ABO,移植前_ABO,categorical,pre-test-p,4,0.0,"mode (fill=O, n=9)",0=A; 1=AB; 2=B; 3=O,B; O; A
prep_RH,移植前_RH,categorical,pre-test-p,2,0.0,"mode (fill=阳性, n=13)",0=阳性; 1=阴性,阳性; 阴性
prep_检查日期_3,移植前_检查日期_3,date,pre-test-p,194,0.0,"mode (fill=2019-02-12, n=10)",,2017-10-28; 2017-12-07; 2018-09-04
prep_直接抗人球蛋白实验,移植前_直接抗人球蛋白实验,categorical,pre-test-p,2,0.0,"mode (fill=阴性, n=10)",0=阳性; 1=阴性,阴性; 阳性
prep_直接抗人球蛋白实验备注,移植前_直接抗人球蛋白实验备注,categorical,pre-test-p,7,0.0,"mode (fill=0.5+, n=218)",0=+; 1=++; 2=+++; 3=0.5; 4=0.5+; 5=2+; 6=直接抗人球蛋白试验0.5+,0.5+; 直接抗人球蛋白试验0.5+; +
prep_抗体筛选实验,移植前_抗体筛选实验,categorical,pre-test-p,2,0.0,"mode (fill=阴性, n=15)",0=阳性; 1=阴性,阴性; 阳性
prep_抗体筛选实验备注,移植前_抗体筛选实验备注,categorical,pre-test-p,1,0.0,"mode (fill=3+, n=246)",0=3+,3+
prep_检查日期_4,移植前_检查日期_4,date,pre-test-p,166,0.0,"mode (fill=2017-05-11, n=54)",,2017-09-15; 2017-12-08; 2019-01-12
prep_铁蛋白,移植前_铁蛋白,float,pre-test-p,175,0.0,"median (fill=996.71, n=57)",,548.13; 902.28; 877.96
prep_移植前是否去铁治疗,移植前_移植前是否去铁治疗,categorical,pre-test-p,2,0.0,"mode (fill=否, n=156)",0=否; 1=是,否; 是
prep_检查日期_5,移植前_检查日期_5,date,pre-test-p,201,0.0,"mode (fill=2017-07-11, n=6)",,2017-10-12; 2017-12-07; 2019-02-23
prep_丙氨酸氨基转移酶（ALT）,移植前_丙氨酸氨基转移酶（ALT）,float,pre-test-p,197,0.0,"median (fill=24.2, n=5)",,21.9; 47.4; 19.9
prep_总蛋白（TP）,移植前_总蛋白（TP）,float,pre-test-p,164,0.0,"median (fill=67.6, n=5)",,67.0; 68.1; 67.6
prep_门冬氨酸氨基转移酶(AST),移植前_门冬氨酸氨基转移酶(AST),float,pre-test-p,180,0.0,"median (fill=22.1, n=4)",,29.8; 33.3; 13.4
